Mission Summary
Mission Time (s),250.06226062774658
Travel Distance (m),135.65006082392944
Total Tree,0
Inspected Tree,0
Validated Tree,0
Coverage (%),0.0

Trajectory
Index,Time (s),X,Y,Z (Altitude),Vx,Vy,Vz,Heading (deg),Airspeed,Groundspeed,Throttle (%)
0,2.180171489715576,-3.0320582389831543,8.007031440734863,-0.12228775769472122,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2.697436809539795,-3.02810001373291,8.011222839355469,-0.7821420431137085,0.0019458155147731304,0.0017183648888021708,-0.2565443813800812,4,0.0,0.0019538269843906164,0.0
2,2.6985647678375244,-3.02810001373291,8.011222839355469,-0.7821420431137085,0.0025273077189922333,0.002515450119972229,-0.37260451912879944,4,0.0,0.0033729267306625843,0.0
3,3.167778968811035,-3.018895149230957,8.020821571350098,-2.4435322284698486,0.0025273077189922333,0.002515450119972229,-0.37260451912879944,4,0.0,0.006918524391949177,0.0
4,3.1710152626037598,-3.018895149230957,8.020821571350098,-2.4435322284698486,0.0057211644016206264,0.003919550217688084,-0.6230465173721313,4,0.0,0.006918524391949177,0.0
5,4.168534278869629,-3.005140542984009,8.036270141601562,-4.9599714279174805,0.0057211644016206264,0.003919550217688084,-0.6230465173721313,4,0.0,0.009515260346233845,0.7400000095367432
6,4.179233074188232,-3.005140542984009,8.036270141601562,-4.9599714279174805,0.006651939824223518,0.0052225044928491116,-0.9661723971366882,4,0.0,0.009515260346233845,0.7400000095367432
7,4.622627019882202,-3.0003464221954346,8.040854454040527,-5.743685722351074,0.006651939824223518,0.0052225044928491116,-0.9661723971366882,4,0.0,0.008107166737318039,0.9800000190734863
8,4.833590984344482,-2.9959378242492676,8.045584678649902,-6.514742851257324,0.008599627763032913,0.0073692891746759415,-1.0637394189834595,4,0.0,0.009013507515192032,1.0
9,4.8793439865112305,-2.9959378242492676,8.045584678649902,-6.514742851257324,0.008289337158203125,0.008010521531105042,-1.1510790586471558,4,0.0,0.010465617291629314,1.0
10,5.169236898422241,-2.9916584491729736,8.050293922424316,-7.245223522186279,0.008289337158203125,0.008010521531105042,-1.1510790586471558,4,0.0,0.010836770758032799,1.0
11,5.174127101898193,-2.9916584491729736,8.050293922424316,-7.245223522186279,0.005241704639047384,0.00845069345086813,-1.229355812072754,4,0.0,0.010836770758032799,1.0
12,5.832607269287109,-2.984225034713745,8.05872631072998,-8.55530834197998,0.005241704639047384,0.00845069345086813,-1.229355812072754,4,0.0,0.01430555060505867,1.0
13,5.878884792327881,-2.984225034713745,8.05872631072998,-8.55530834197998,0.005910939536988735,0.008345531299710274,-1.350561261177063,4,0.0,0.010708100162446499,1.0
14,6.1702141761779785,-2.980914354324341,8.062729835510254,-9.14363956451416,0.005910939536988735,0.008345531299710274,-1.350561261177063,4,0.0,0.014473583549261093,1.0
15,6.175874948501587,-2.980914354324341,8.062729835510254,-9.14363956451416,0.009669605642557144,0.011600094847381115,-1.3960493803024292,4,0.0,0.014473583549261093,1.0
16,6.595257997512817,-2.9777355194091797,8.06623363494873,-9.684076309204102,0.009669605642557144,0.011600094847381115,-1.3960493803024292,4,0.0,0.013701572082936764,1.0
